name,type,address,description,stages,child_friendly_features,tags,lat,lng,submittedby,rating,isseed
Northacres Park,Playground,"12530 3rd Ave NE, Seattle, WA","Northacres Park. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.72137623,-122.32806536,admin,0,false
Lowman Beach Park,Playground,"7017 Beach Dr SW, Seattle, WA",Lowman Beach Park. Equipment includes swings. Suitable for ages 2-12.,,swings,"outdoor,source-age:2-12",47.54036668,-122.39672777,admin,0,false
Bhy Kracke Park,Playground,"1200 5th Ave N, Seattle, WA",Bhy Kracke Park.,,,"ada-compliant,outdoor",47.63034568,-122.34779047,admin,0,false
Mrytle Reservoir Park,Playground,"SW Myrtle St / 35th Ave SW, Seattle, WA",Mrytle Reservoir Park.,,,"ada-compliant,outdoor",47.54060202,-122.37763297,admin,0,false
E.C. Hughes Playground,Playground,"2805 SW Holden St, Seattle, WA","E.C. Hughes Playground. Equipment includes climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.53339754,-122.36888198,admin,0,false
Mt. Baker Park,Playground,"2521 Lake Park Drive S, Seattle, WA","Mt. Baker Park. Equipment includes climbing-structure, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.57853952,-122.28893294,admin,0,false
Powell Barnett Park,Playground,"352 M.L. King Jr. Way, Seattle, WA","Powell Barnett Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.60458888,-122.29591993,admin,0,false
TT Minor Playground,Playground,"17th Ave / E Union St, Seattle, WA",TT Minor Playground. Equipment includes climbing-structure. Suitable for ages 2-5 and 5-12.,,climbing,"ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.61312601,-122.31056938,admin,0,false
Bitter Lake Open Space Park,Playground,"Linden Ave N & N 143rd St, Seattle, WA",Bitter Lake Open Space Park.,,,"ada-compliant,outdoor",47.73111517,-122.34805734,admin,0,false
Miller Playfield,Playground,"400 19th Ave E, Seattle, WA",Miller Playfield. Equipment includes swings. Suitable for ages 2-12.,,swings,"ada-compliant,outdoor,source-age:2-12",47.62109268,-122.30697925,admin,0,false
Sandel Playground,Playground,"9053 1st Ave NW, Seattle, WA","Sandel Playground. Equipment includes climbing, climbing-structure, roundabout, swings. Suitable for ages 2-12 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.69567869,-122.35886295,admin,0,false
Baker Park on Crown Hill,Playground,"Mary Ave NW / NW 83rd St, Seattle, WA","Baker Park on Crown Hill. Equipment includes climbing-structure, swings. Suitable for ages 2-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-12",47.69016536,-122.3747977,admin,0,false
Highland Park Playground,Playground,"1100 SW Cloverdale St, Seattle, WA","Highland Park Playground. Equipment includes baby-swings, climbing, climbing-structure, spring-rocker, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.52693381,-122.34936415,admin,0,false
Flo Ware Park,Playground,"28th Ave S / S Jackson St, Seattle, WA","Flo Ware Park. Equipment includes climbing-structure, swings. Suitable for ages 2-12 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.59947501,-122.29599513,admin,0,false
Walt Hundley Playfield,Playground,"6920 34th Ave SW, Seattle, WA",Walt Hundley Playfield.,,,"ada-compliant,outdoor",47.53997573,-122.37464527,admin,0,false
Yesler Community Center,Playground,"917 East Yesler Way, Seattle, WA",Yesler Community Center.,,,"ada-compliant,outdoor",47.60100062,-122.320141,admin,0,false
Brighton Playfield,Playground,"6000 39th Ave S, Seattle, WA",Brighton Playfield.,,,"ada-compliant,outdoor",47.5485732,-122.28291676,admin,0,false
Pathways Park,Playground,"5201 Sand Point Way NE, Seattle, WA",Pathways Park. Equipment includes swings. Suitable for ages 5-12.,,swings,"ada-compliant,outdoor,source-age:5-12",47.66732323,-122.28192425,admin,0,false
Georgetown Playfield,Playground,"750 S Homer St, Seattle, WA",Georgetown Playfield.,,,"ada-compliant,outdoor",47.55233616,-122.32148798,admin,0,false
Hiawatha Playfield,Playground,"2700 California Ave SW, Seattle, WA",Hiawatha Playfield.,,,"ada-compliant,outdoor",47.57896239,-122.38446554,admin,0,false
Ravenna Park,Playground,"5520 Ravenna Ave NE, Seattle, WA","Ravenna Park. Equipment includes climbing, climbing-structure, roundabout, sand-diggers, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,sand-diggers,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.66909998,-122.30292771,admin,0,false
Seward Park,Playground,"5898 Lake Washington Bv S, Seattle, WA","Seward Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.54950036,-122.25630454,admin,0,false
Montlake Totlot,Playground,"26th Ave E / E Lynn St., Seattle, WA",Montlake Totlot.,,,"ada-compliant,outdoor",47.63955595,-122.29840901,admin,0,false
Webster Playground,Playground,"3014 NW 67th St, Seattle, WA","Webster Playground. Equipment includes baby-swings, climbing, climbing-structure, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.67783168,-122.39785127,admin,0,false
South Park Playground,Playground,"738 S Sullivan St, Seattle, WA","South Park Playground. Equipment includes baby-swings, climbing-structure, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,swings","outdoor,source-age:2-5,source-age:5-12",47.52833239,-122.32455951,admin,0,false
Washington Park,Playground,"2500 Lake Washington Blvd. E, Seattle, WA","Washington Park. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.62767381,-122.29398222,admin,0,false
Dr. Jose Rizal Park,Playground,"1008 12th Ave S, Seattle, WA",Dr. Jose Rizal Park.,,,"ada-compliant,outdoor",47.59193834,-122.31760413,admin,0,false
Golden Gardens Park,Playground,"8498 Seaview Pl NW, Seattle, WA","Golden Gardens Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.69178109,-122.4037383,admin,0,false
Firehouse Mini Park,Playground,"712 18th Ave, Seattle, WA","Firehouse Mini Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:2-12",47.60843329,-122.30858572,admin,0,false
Westcrest Park,Playground,"9000 8th Ave SW, Seattle, WA",Westcrest Park.,,,outdoor,47.52449993,-122.34286427,admin,0,false
Seward Park,Playground,"5898 Lake Washington Bv S, Seattle, WA","Seward Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.5510685,-122.25442147,admin,0,false
Urban Triangle Park,Playground,"2100 Westlake Ave, Seattle, WA",Urban Triangle Park.,,,outdoor,47.61686161,-122.33777066,admin,0,false
12th Ave Square Park,Playground,"564 12th Ave, Seattle, WA",12th Ave Square Park.,,,outdoor,47.60724334,-122.31640595,admin,0,false
Westlake Park,Playground,"401 Pine Street, Seattle, WA",Westlake Park.,,,outdoor,47.6109983,-122.33692103,admin,0,false
Rainier Beach Community Center,Playground,"8802 Rainier Ave South, Seattle, WA",Rainier Beach Community Center.,,,outdoor,47.52462911,-122.27122908,admin,0,false
Lake City HUB,Playground,"12510 33rd Ave NE, Seattle, WA",Lake City HUB.,,,outdoor,47.71993523,-122.29246834,admin,0,false
Ballard Commons Park,Playground,"5701 22nd Ave NW, Seattle, WA",Ballard Commons Park.,,,outdoor,47.67059489,-122.38501863,admin,0,false
Duwamish Waterway Park,Playground,"7900 10th Ave S, Seattle, WA","Duwamish Waterway Park. Equipment includes climbing, roundabout, spring-rocker, zip-line. Suitable for ages 5-12.",,"climbing,roundabout,zip-line","outdoor,source-age:5-12",47.53078309,-122.31965745,admin,0,false
Occidental Square,Playground,"117 S Washington St, Seattle, WA",Occidental Square.,,,outdoor,47.60063822,-122.33330441,admin,0,false
Cheryl Chow Park,Playground,"3640 35th Ave S, Seattle, WA",Cheryl Chow Park.,,,outdoor,47.57006066,-122.28908369,admin,0,false
Hoa Mai Park,Playground,"1224 S King St, Seattle, WA",Hoa Mai Park.,,,outdoor,47.59889676,-122.31597568,admin,0,false
South Park Plaza,Playground,", Seattle, WA",South Park Plaza.,,,outdoor,47.52814715,-122.31545308,admin,0,false
Overlook Walk (Alaskan Way Boulevard),Playground,"1904 Western Ave, Seattle, WA",Overlook Walk (Alaskan Way Boulevard).,,,outdoor,47.60917044,-122.34301213,admin,0,false
Waterfront Park,Playground,"1401 Alaskan Wy, Seattle, WA",Waterfront Park.,,,outdoor,47.60704633,-122.34196995,admin,0,false
