name,type,address,description,stages,child_friendly_features,tags,lat,lng,submitted_by,rating,is_seed
Fremont Branch - The Seattle Public Library,Library,"731 N 35th St, Seattle, WA 98103, USA",Kids love the cozy kids section at this neighborhood favorite where storytimes happen regularly and the space feels welcoming for families. You'll appreciate the quiet rooms available when little ones need to decompress between activities.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""quiet-room"",""free-entry""]","[""fremont"",""free"",""rainy-day"",""toddler-favourite""]",47.6500583,-122.3484854,admin,4.6,false
West Seattle Branch - The Seattle Public Library,Library,"2306 42nd Ave SW, Seattle, WA 98116, USA","This branch offers a bright, accessible kids section where families can settle in for storytimes and explore age-appropriate collections in a relaxed neighborhood setting. You'll find maker-space activities that inspire creativity alongside traditional library resources.","[""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""maker-space"",""free-entry""]","[""west-seattle"",""free"",""rainy-day"",""community""]",47.5826878,-122.3847333,admin,4.7,false
Madrona-Sally Goldmark Branch - The Seattle Public Library,Library,"1134 33rd Ave, Seattle, WA 98122, USA",Kids enjoy discovering stories in the dedicated kids section of this friendly neighborhood library where regular storytimes and reading programs build early literacy skills. The quiet rooms provide a calm retreat when families need a break from busy schedules.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""reading-programs"",""quiet-room""]","[""madrona"",""free"",""rainy-day"",""neighborhood""]",47.6126792,-122.2900362,admin,4.6,false
Montlake Branch - The Seattle Public Library,Library,"2401 24th Ave E, Seattle, WA 98112, USA",You'll find a welcoming kids section where storytimes and family events create memorable library experiences for young learners. The maker-space opens up creative possibilities for school-age children exploring projects beyond traditional books.,"[""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""maker-space"",""family-events""]","[""montlake"",""free"",""rainy-day"",""learning""]",47.6404159,-122.302498,admin,4.6,false
Olympic Garage,Library,"415 Seneca St, Seattle, WA 98101, USA",This unique downtown library experience offers kids a dedicated section with regular storytimes and quiet spaces to decompress after urban exploration. Free entry makes it an accessible rainy-day destination when downtown families need an indoor activity.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""quiet-room"",""free-entry""]","[""downtown"",""free"",""rainy-day"",""sensory-friendly""]",47.6077339,-122.3331217,admin,3.1,false
Greenwood Branch - The Seattle Public Library,Library,"8016 Greenwood Ave N, Seattle, WA 98103, USA",Kids gravitate toward the bright kids section at this popular neighborhood library where storytimes happen regularly and reading programs help build lifelong learning habits. You'll appreciate the maker-space for hands-on creative projects that complement book discoveries.,"[""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""reading-programs"",""maker-space""]","[""greenwood"",""free"",""rainy-day"",""toddler-favourite""]",47.6874519,-122.3547574,admin,4.7,false
Columbia Branch - The Seattle Public Library,Library,"4721 Rainier Ave S, Seattle, WA 98118, USA","You'll discover a warm, inclusive kids section where multilingual storytimes and family events celebrate diverse communities. The quiet rooms and dedicated reading programs make this library a go-to spot for families building strong early literacy foundations.","[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""multilingual"",""quiet-room""]","[""rainier-valley"",""free"",""rainy-day"",""inclusive""]",47.5599006,-122.2869591,admin,4.7,false
Magnolia Branch - The Seattle Public Library,Library,"2801 34th Ave W, Seattle, WA 98199, USA",Kids love exploring the well-stocked kids section at this quiet neighborhood library where storytimes create cozy reading moments for families. You'll find thoughtfully curated collections and a calm atmosphere perfect for young learners and their grown-ups.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""reading-programs"",""quiet-room""]","[""magnolia"",""free"",""rainy-day"",""neighborhood""]",47.64532630000001,-122.4013851,admin,4.8,false
Northeast Branch - The Seattle Public Library,Library,"6801 35th Ave NE, Seattle, WA 98115, USA",You'll find a vibrant kids section with regular storytimes and maker-space activities that spark creativity in school-age children exploring STEM and arts projects. Family events and free programming make this northeast library a wonderful community gathering space for young learners.,"[""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""maker-space"",""family-events""]","[""northeast"",""free"",""rainy-day"",""learning""]",47.6778874,-122.2907311,admin,4.6,false
High Point Branch - The Seattle Public Library,Library,"3411 SW Raymond St, Seattle, WA 98126, USA","You'll find a welcoming kids' section with regular storytimes and reading programs that keep young learners engaged, plus a quiet room when you need a calm break. The maker-space opens up creative possibilities for school-age kids to explore and build.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""maker-space""]","[""west-seattle"",""free"",""rainy-day"",""toddler-favourite""]",47.5480682,-122.3758825,admin,4.4,false
Freeway Park,Library,"700 Seneca St, Seattle, WA 98101, USA","Located downtown with stunning architecture, this library offers family events and a dedicated kids' section where children discover stories in a vibrant urban setting. The quiet room provides a peaceful retreat when the city buzz gets overwhelming.","[""toddler"",""preschool"",""school-age""]","[""kids-section"",""quiet-room"",""family-events"",""free-entry""]","[""downtown"",""free"",""rainy-day"",""all-ages""]",47.609308,-122.330903,admin,4.2,false
Wallingford Branch - The Seattle Public Library,Library,"1501 N 45th St, Seattle, WA 98103, USA","Kids love the bright, accessible kids' section where storytimes bring characters to life, and the maker-space lets them tinker and create. You'll appreciate the quiet room for those moments when you need to regroup.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""maker-space"",""quiet-room""]","[""wallingford"",""free"",""rainy-day"",""toddler-favourite""]",47.6612832,-122.3387458,admin,4.3,false
Sky View Observatory - Columbia Center,Library,"700 4th Ave, Seattle, WA 98104, USA","Soaring 40 stories above Seattle, this observatory gives kids an unforgettable view of the city, mountains, and water that makes geography come alive. On clear days, the 360-degree views spark wonder and endless questions from curious minds.","[""preschool"",""school-age"",""all-ages""]","[""family-events"",""free-entry""]","[""downtown"",""educational"",""outdoor-views"",""all-ages""]",47.6043639,-122.3310111,admin,4.7,false
PlayDate SEA,Attraction,"1275 Mercer St, Seattle, WA 98109, USA","Kids bounce through thoughtfully separated age zones where toddlers and older children play safely side-by-side, while you relax in comfortable adult seating. The sensory-friendly environment and on-site cafe make it easy to spend hours here without leaving.","[""infant"",""toddler"",""preschool""]","[""soft-play"",""age-sections"",""adult-seating"",""sensory-friendly""]","[""queen-anne"",""toddler-favourite"",""rainy-day"",""sensory-friendly""]",47.6236257,-122.330639,admin,4.3,false
Twinkle Land Play Cafe,Attraction,"15510 Lake Hills Blvd, Bellevue, WA 98007, USA","Your little ones will love climbing and exploring in dedicated toddler sessions where the soft-play equipment is perfectly sized for young bodies. The cafe lets you refuel while kids burn off endless energy in this bright, welcoming space.","[""infant"",""toddler"",""preschool""]","[""soft-play"",""toddler-sessions"",""cafe-on-site"",""stroller-friendly""]","[""bellevue"",""toddler-favourite"",""rainy-day"",""family-discount""]",47.6036403,-122.1316221,admin,4.3,false
Nick's Magnificent,Attraction,"1430 NW Mall St, Issaquah, WA 98027, USA",Kids dive into imaginative hands-on play across age-specific zones where they can safely explore everything from climbing structures to interactive exhibits. The socks-required setup keeps the play areas clean and cozy for everyone.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""hands-on-exhibits"",""party-rooms""]","[""issaquah"",""rainy-day"",""toddler-favourite"",""all-ages""]",47.5446524,-122.0601102,admin,4.8,false
Kids Magic Lab,Attraction,"7325 166th Ave NE f235, Redmond, WA 98052, USA",Your family discovers interactive magic and hands-on science through play in a sensory-rich environment designed for curious minds. The age-grouped areas and family discounts make it affordable to spend an afternoon exploring together.,"[""preschool"",""school-age"",""all-ages""]","[""hands-on-exhibits"",""age-sections"",""sensory-friendly"",""family-discount""]","[""redmond"",""educational"",""rainy-day"",""all-ages""]",47.6701853,-122.1200276,admin,4.7,false
Ballard Playspace,Attraction,"1460 NW 73rd St, Seattle, WA 98117, USA","Kids climb, slide, and explore in a neighborhood playspace where age-separated zones keep little ones safe while older siblings play nearby. You'll find comfortable seating and a cafe so parents can relax while children burn off energy.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""cafe-on-site"",""adult-seating""]","[""ballard"",""toddler-favourite"",""rainy-day"",""neighborhood""]",47.6817583,-122.3749213,admin,4.6,false
Funtastic Playtorium,Attraction,"4077 Factoria Square Mall SE, Bellevue, WA 98006, USA",Your family enjoys hands-on play in sensory-friendly zones where toddlers and school-age kids each have space designed just for them. The on-site cafe and party rooms make this a one-stop destination for both casual playdates and celebrations.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""cafe-on-site""]","[""bellevue"",""toddler-favourite"",""rainy-day"",""party-venue""]",47.57371939999999,-122.1725,admin,4.2,false
Safari,Attraction,"2876 Southcenter Blvd, Tukwila, WA 98188, USA","Your kids will climb, jump, and explore multiple soft-play structures designed for different age groups, while you relax in the adult seating area with a coffee from the on-site cafe. This Tukwila spot offers sensory-friendly sessions perfect for children who need a quieter play experience.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""cafe-on-site"",""adult-seating""]","[""rainy-day"",""toddler-favourite"",""tukwila"",""indoor""]",47.45847250000001,-122.2569299,admin,4.5,false
Nixi City Play + Cafe,Attraction,"1437 NW Richmond Beach Rd # E, Shoreline, WA 98177, USA","Kids love bouncing through the colorful soft-play structures at this Shoreline favorite, where separate areas keep toddlers safe while older siblings have their own challenges. The on-site cafe means parents can grab a snack without leaving the play space.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""cafe-on-site"",""toddler-sessions""]","[""shoreline"",""rainy-day"",""toddler-favourite"",""indoor""]",47.7694397,-122.376915,admin,4.8,false
Funtastic Playtorium Alderwood,Attraction,"3000 184th St SW #676, Lynnwood, WA 98037, USA","You'll find spacious soft-play equipment and dedicated toddler sessions at this Lynnwood attraction, making it ideal for younger kids to develop confidence while older children tackle bigger challenges. The family-friendly pricing and on-site cafe keep everyone happy.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""cafe-on-site""]","[""lynnwood"",""rainy-day"",""family-discount"",""indoor""]",47.8294399,-122.2752836,admin,4.2,false
Kids Cove @ The Square,Attraction,"212 Bellevue Way NE, Bellevue, WA 98004, USA","Located right in downtown Bellevue, this play center gives kids a chance to burn energy with soft-play structures while you stay comfortable in the designated adult seating. Sensory-friendly sessions make it welcoming for all children, including those with sensory sensitivities.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""adult-seating""]","[""bellevue"",""rainy-day"",""indoor"",""sensory-friendly""]",47.6156269,-122.2035472,admin,4,false
WiggleWorks Kids,Attraction,"15600 NE 8th St Suite G2, Bellevue, WA 98008, USA","This Bellevue play space features age-separated soft-play areas so your toddler can play safely while older siblings enjoy bigger challenges, all under one roof. The adult seating and on-site cafe make it easy for parents to supervise comfortably.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""adult-seating"",""cafe-on-site""]","[""bellevue"",""rainy-day"",""toddler-favourite"",""indoor""]",47.6184436,-122.1304309,admin,3.8,false
Ahoy Kitsap Playland,Attraction,"5934 WA-303, Bremerton, WA 98311, USA","Your family will love the nautical-themed soft-play structures and separate toddler sessions at this Bremerton playland, giving kids of all ages something just right for their abilities. Party rooms and family discounts make it perfect for celebrations.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""party-rooms""]","[""bremerton"",""rainy-day"",""birthday-party"",""indoor""]",47.6150952,-122.626681,admin,4.3,false
Wunderkind,Attraction,"3318 NE 55th St, Seattle, WA 98105, USA",Kids thrive in this University District play center where separate age sections mean toddlers get the perfect-sized climbs while school-age kids stay challenged. The sensory-friendly programming and calm environment make it welcoming for every child.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""toddler-sessions""]","[""university-district"",""rainy-day"",""sensory-friendly"",""indoor""]",47.6686478,-122.2919477,admin,4,false
Play at the center,Attraction,"370 Thomas St, Seattle, WA 98109, USA","You'll appreciate the convenient Queen Anne location and thoughtful design that separates play areas by age, so your little one stays safe while bigger kids explore. Stroller-friendly access and an on-site cafe make the whole experience parent-friendly.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""stroller-friendly"",""cafe-on-site""]","[""queen-anne"",""rainy-day"",""toddler-favourite"",""indoor""]",47.6217682,-122.3497367,admin,4.7,false
The Ridge Activity Center,Attraction,"3827 Maltby Rd, Bothell, WA 98021, USA","This Bothell activity center offers generous soft-play structures with age-specific zones, sensory-friendly sessions, and comfortable adult seating so the whole family stays happy. The on-site cafe and family discounts make it a practical choice for regular visits.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""family-discount""]","[""bothell"",""rainy-day"",""indoor"",""sensory-friendly""]",47.8137889,-122.1811498,admin,4.7,false
Safari Auburn,Attraction,"1101 Outlet Collection Way Suite 1049, Auburn, WA 98001, USA","Kids love exploring the varied soft-play equipment at this Auburn location, where separate toddler sessions and age-specific areas ensure every child plays at their own level. The on-site cafe and family discounts make it budget-friendly for frequent visitors.","[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""family-discount""]","[""auburn"",""rainy-day"",""family-discount"",""indoor""]",47.2992841,-122.2432708,admin,4.6,false
Gas Works Park Kid Playground,Attraction,"2101 N Northlake Way, Seattle, WA 98103, USA","You'll find a sprawling outdoor playground with views of Lake Union and the city skyline, where kids can climb, slide, and explore while parents relax on the grassy hills. The park's open layout and vintage industrial structures create a unique play environment that feels like a secret adventure spot right in the city.","[""toddler"",""preschool"",""school-age""]","[""stroller-friendly"",""adult-seating"",""free-entry""]","[""wallingford"",""outdoor"",""free"",""iconic""]",47.64579029999999,-122.3332984,admin,4.3,false
Elevated Sportz Trampoline Park & Event Center,Attraction,"18311 Bothell Everett Hwy #140, Bothell, WA 98012, USA","Kids bounce with endless energy across interconnected trampolines while parents watch from comfortable seating areas, making this the ultimate spot to burn off pent-up energy on rainy Seattle days. The facility's separation of age groups ensures younger jumpers have their own safe zones away from bigger kids.","[""toddler"",""preschool"",""school-age""]","[""age-sections"",""adult-seating"",""cafe-on-site"",""socks-required""]","[""bothell"",""rainy-day"",""high-energy""]",47.8318555,-122.2078521,admin,4.2,false
The Jungle Gym,Attraction,"816 SW 152nd St, Burien, WA 98166, USA","This beloved soft-play haven features colorful climbing structures, slides, and ball pits designed specifically for younger kids to safely explore and play. The calm, supervised environment makes it perfect for toddlers and preschoolers who need space to move without the chaos of larger venues.","[""infant"",""toddler"",""preschool""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""burien"",""toddler-favourite"",""sensory-friendly""]",47.4668949,-122.3453145,admin,4.7,false
Children Play Area,Attraction,"3rd floor, Bellevue Square, 575 Bellevue Way NE, Bellevue, WA 98004, USA","Located right in Bellevue Square mall, this cozy third-floor play area is perfect for a quick energy release while shopping, with age-appropriate structures that keep toddlers and preschoolers engaged. You'll appreciate the convenient location and the fact that your little ones can play safely while you grab a coffee nearby.","[""infant"",""toddler"",""preschool""]","[""soft-play"",""age-sections"",""adult-seating"",""stroller-friendly""]","[""bellevue"",""quick-visit"",""mall"",""toddler-favourite""]",47.6151195,-122.2033949,admin,4.4,false
Sky Zone Trampoline Park,Attraction,"455 Andover Park E, Tukwila, WA 98188, USA","Kids love launching themselves across acres of interconnected trampolines with foam pits and dodgeball courts, offering thrills for school-age children with varying skill levels. Parents appreciate the café, party rooms, and designated spectator seating while watching their kids soar.","[""preschool"",""school-age""]","[""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""tukwila"",""high-energy"",""birthday-party"",""rainy-day""]",47.4516537,-122.2518081,admin,4.1,false
Sky Zone Trampoline Park,Attraction,"24000 Van Ry Blvd Suite 100, Mountlake Terrace, WA 98043, USA","This trampoline park gives families a fantastic indoor play destination with varied attractions for different ages and energy levels, all under one roof. The combination of open jump areas, foam pits, and adventure obstacles keeps school-age kids entertained for hours while parents relax nearby.","[""preschool"",""school-age""]","[""age-sections"",""cafe-on-site"",""party-rooms"",""socks-required""]","[""mountlake-terrace"",""rainy-day"",""high-energy"",""birthday-party""]",47.78060079999999,-122.3156074,admin,4,false
Urban Air Trampoline and Adventure Park,Attraction,"400 Strander Blvd, Tukwila, WA 98188, USA","You'll find an expansive adventure park combining trampolines, ropes courses, climbing walls, and arcade games that keeps kids entertained for hours in a climate-controlled environment. The variety of activities means siblings of different ages can all find something exciting to do together.","[""preschool"",""school-age"",""all-ages""]","[""age-sections"",""party-rooms"",""cafe-on-site"",""adult-seating""]","[""tukwila"",""rainy-day"",""high-energy"",""birthday-party""]",47.4562085,-122.2524535,admin,3.5,false
Urban Air Trampoline and Adventure Park,Attraction,"1502 SE Everett Mall Way, Everett, WA 98208, USA","This adventure park offers trampolines, obstacle courses, and climbing challenges that appeal to active school-age kids looking for a serious physical challenge and lots of jumping fun. The spacious layout and variety of attractions mean kids stay engaged and entertained for hours.","[""school-age"",""all-ages""]","[""age-sections"",""party-rooms"",""cafe-on-site"",""soft-play""]","[""everett"",""rainy-day"",""high-energy"",""birthday-party""]",47.9114679,-122.212479,admin,4.2,false
Activate Tukwila,Attraction,"300 Andover Park W Unit 650, Tukwila, WA 98188, USA","Kids discover an indoor play facility packed with soft structures, climbing elements, and obstacle courses designed for younger children to safely explore and play. The thoughtfully separated age zones ensure toddlers and preschoolers can play at their own pace without feeling overwhelmed.","[""infant"",""toddler"",""preschool""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""tukwila"",""toddler-favourite"",""rainy-day"",""sensory-friendly""]",47.45432659999999,-122.2536413,admin,5,false
Sky Zone Trampoline Park,Attraction,"1765 22nd Ave S, Seattle, WA 98144, USA","You'll find a high-energy trampoline park right in Seattle where kids can jump, flip, and play across interconnected courts with foam pits and dodgeball zones. The convenient location in south Seattle makes it easy to give active kids an outlet during rainy afternoons or weekend adventures.","[""preschool"",""school-age""]","[""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""seattle"",""rainy-day"",""high-energy"",""birthday-party""]",47.5871509,-122.3041318,admin,2.5,false
Adventure Alley,Attraction,"2135 Sheridan Rd D, Bremerton, WA 98310, USA",You'll find a sprawling indoor play space in Bremerton with dedicated soft-play areas that grow with your child from toddler through school-age. Kids love the variety of hands-on activities and the sensory-friendly sessions designed to keep overwhelm at bay.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""toddler-sessions""]","[""bremerton"",""rainy-day"",""active-play""]",47.58807909999999,-122.6144933,admin,4.5,false
"""Artists At Play"" Playground",Attraction,"305 Harrison St, Seattle, WA 98109, USA","You'll discover a beautifully designed outdoor playground in Magnolia that sparks creativity with its artistic installations and natural elements. Kids love exploring the different zones designed for various ages, making it perfect whether you have a crawler or a climber.","[""toddler"",""preschool"",""school-age""]","[""age-sections"",""stroller-friendly"",""free-entry"",""adult-seating""]","[""magnolia"",""outdoor"",""free"",""art-focused""]",47.6218952,-122.3492217,admin,4.7,false
Seattle Children's PlayGarden,Attraction,"1745 24th Ave S, Seattle, WA 98144, USA","You'll find a lush, beautifully maintained garden space where kids can explore nature through interactive play stations and sensory experiences. The garden's calm design makes it perfect for children who need a gentler, more open play environment.","[""infant"",""toddler"",""preschool"",""school-age""]","[""sensory-friendly"",""stroller-friendly"",""adult-seating"",""free-entry""]","[""beacon-hill"",""outdoor"",""free"",""sensory-friendly""]",47.587275,-122.3019611,admin,4.6,false
The Little Gym of Seattle at Maple Leaf,Attraction,"8830 Roosevelt Way NE, Seattle, WA 98115, USA","You'll experience expert-led classes that build confidence and physical skills in a bright, welcoming gym space in Maple Leaf. Your child gets individualized attention in age-appropriate classes, whether they're a barely-mobile infant or a fearless preschooler.","[""infant"",""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""maple-leaf"",""active-play"",""classes""]",47.69293159999999,-122.3173054,admin,4.9,false
The Little Gym of Seattle at Interbay,Attraction,"2213 15th Ave W, Seattle, WA 98119, USA",You'll find a top-notch gymnastics facility on Interbay with patient instructors who make tiny tumblers feel like champions from day one. The program's structured classes combined with open playtime means your kid gets both skill-building and pure fun.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""interbay"",""active-play"",""classes""]",47.6390628,-122.3765715,admin,4.9,false
Seattle Gymnastics Academy - Ballard,Attraction,"1415 NW 52nd St, Seattle, WA 98107, USA",You'll discover a well-established gymnastics academy in Ballard with skilled coaches who work with kids from preschool through advanced levels. The facility's party-friendly atmosphere makes it ideal for both regular classes and celebratory gatherings.,"[""preschool"",""school-age""]","[""soft-play"",""age-sections"",""party-rooms"",""adult-seating""]","[""ballard"",""active-play"",""classes""]",47.66618219999999,-122.3747906,admin,4.4,false
Seattle Gymnastics Academy - Columbia City,Attraction,"5034 37th Ave S #200, Seattle, WA 98118, USA","You'll find a welcoming gymnastics academy in Columbia City where diverse families come together, and instructors celebrate each child's unique progress. The inclusive environment and structured progression keep kids engaged year after year.","[""preschool"",""school-age""]","[""soft-play"",""age-sections"",""party-rooms"",""adult-seating""]","[""columbia-city"",""active-play"",""classes""]",47.556159,-122.2860065,admin,3.5,false
The Little Gym of West Seattle,Attraction,"7025 California Ave SW, Seattle, WA 98136, USA",You'll experience a cozy Little Gym location in West Seattle with caring instructors who specialize in helping young movers find their confidence on the equipment. The smaller-scale facility makes it less overwhelming while still offering excellent progressive classes.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""west-seattle"",""active-play"",""classes""]",47.5400437,-122.387519,admin,5,false
Seattle Athletic Club,Attraction,"2020 Western Ave, Seattle, WA 98121, USA","You'll access a full-service athletic club in Belltown with quality childcare and kids' programming in a professional setting. Parents appreciate the combination of supervised play and fitness facilities, making it perfect for active families.","[""infant"",""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""party-rooms"",""cafe-on-site""]","[""belltown"",""active-play"",""all-ages""]",47.6108856,-122.3440399,admin,4.3,false
Yesler Community Center,Attraction,"917 E Yesler Wy, Seattle, WA 98122, USA",You'll find a community-centered hub in the Central District offering affordable programming and welcoming spaces where neighborhood kids gather. The center's inclusive approach means every family finds something that works for their budget and schedule.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""party-rooms"",""family-discount""]","[""central-district"",""free"",""community"",""budget-friendly""]",47.60151,-122.320222,admin,4.3,false
My Gym Bellevue Children's Fitness Center,Attraction,"4070 148th Ave NE, Redmond, WA 98052, USA",Kids love the age-specific gymnastics classes and soft-play equipment designed to build confidence and coordination in a supportive environment. You'll find dedicated toddler sessions and structured classes that grow with your child from their first somersaults.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""redmond"",""active-play"",""skill-building""]",47.6467596,-122.1407742,admin,4.5,false
Miller Community Center,Attraction,"330 19th Ave E, Seattle, WA 98112, USA","You'll discover a welcoming community hub where kids can explore soft-play areas while you relax nearby, with convenient amenities and age-appropriate activities for everyone. The sensory-friendly options and toddler-focused sessions make it easy for younger children to play confidently.","[""infant"",""toddler"",""preschool"",""school-age""]","[""soft-play"",""toddler-sessions"",""sensory-friendly"",""adult-seating""]","[""capitol-hill"",""rainy-day"",""sensory-friendly""]",47.6217681,-122.306964,admin,4.4,false
Jefferson Community Center,Attraction,"3801 Beacon Ave S, Seattle, WA 98108, USA",Kids thrive in the dedicated soft-play zones and age-sectioned activities at this inclusive south Seattle center. You'll appreciate the family-friendly atmosphere with nearby seating and thoughtful features like sensory-friendly options for all learning styles.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""sensory-friendly"",""adult-seating""]","[""beacon-hill"",""rainy-day"",""community-focused""]",47.5696993,-122.3079517,admin,4.6,false
Seattle Gymnastics Academy - Lake City,Attraction,"12535 26th Ave NE, Seattle, WA 98125, USA",Your child will build strength and confidence through age-appropriate gymnastics instruction in a supportive environment designed just for them. Kids love the specialized equipment and toddler-friendly classes that introduce basic skills in a playful way.,"[""toddler"",""preschool"",""school-age""]","[""soft-play"",""age-sections"",""toddler-sessions"",""adult-seating""]","[""lake-city"",""active-play"",""skill-building""]",47.7204539,-122.3007743,admin,4.4,false
Pratt Park & Spraypark,Park,"201 20th Ave S, Seattle, WA 98144, USA",Kids splash and play in the seasonal spray park while you enjoy the shaded picnic areas and easy walking paths with your stroller. The fenced play areas and nearby restrooms make it a stress-free spot for cooling off on warm Seattle days.,"[""toddler"",""preschool"",""school-age""]","[""splash-pad"",""shade"",""stroller-friendly"",""fenced""]","[""beacon-hill"",""outdoor"",""spray-park""]",47.60071929999999,-122.3074558,admin,4.3,false
Northacres Park,Park,"12718 1st Ave NE, Seattle, WA 98125, USA",You'll find a nature-rich setting where kids can run freely in the fenced play areas and get wet in the summer spray park. The shaded paths and picnic spots make it perfect for families who want outdoor fun without leaving the neighborhood.,"[""toddler"",""preschool"",""school-age"",""all-ages""]","[""splash-pad"",""nature-play"",""shade"",""stroller-friendly""]","[""lake-city"",""outdoor"",""spray-park""]",47.721789,-122.327208,admin,4.4,false
Lake Union Spraypark,Park,"Valley Street and, 860 Terry Ave N, Seattle, WA 98109, USA",Kids love splashing in this convenient downtown spray park with easy street access and nearby shade for warm-up breaks. The paved paths and restroom facilities make it accessible for families with younger children and strollers.,"[""toddler"",""preschool"",""school-age""]","[""splash-pad"",""paved-paths"",""shade"",""restrooms-nearby""]","[""lake-union"",""outdoor"",""spray-park""]",47.6263572,-122.3376545,admin,4.3,false
Northacres Spraypark,Park,"12718 1st Ave NE, Seattle, WA 98125, USA",Your family will enjoy the year-round nature play alongside seasonal splash-pad fun at this friendly Lake City park. The fenced areas and nearby amenities give you peace of mind while kids explore and cool off.,"[""toddler"",""preschool"",""school-age""]","[""splash-pad"",""fenced"",""nature-play"",""shade""]","[""lake-city"",""outdoor"",""spray-park""]",47.7220698,-122.3285167,admin,4.6,false
East Queen Anne Playground & Wading Pool,Park,"1912 Warren Ave N, Seattle, WA 98109, USA",Kids enjoy cooling off in the wading pool and playing on shaded grounds that feel like a neighborhood secret. The easy paths and nearby facilities make it convenient for families with little ones who need frequent breaks.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""swimming"",""shade"",""stroller-friendly"",""paved-paths""]","[""queen-anne"",""outdoor"",""water-play""]",47.6360295,-122.3539233,admin,4.5,false
Fritz Hedges Waterway Park,Park,"1117 NE Boat St, Seattle, WA 98105, USA",You'll discover peaceful waterfront paths perfect for stroller walks and plenty of shade for relaxing while kids explore nature. The easy terrain and nearby restrooms make it an accessible spot for families seeking a gentler outdoor outing.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""paved-paths"",""shade"",""stroller-friendly"",""nature-play""]","[""u-district"",""outdoor"",""waterfront""]",47.6520661,-122.3159908,admin,4.8,false
Spraypark,Park,"1100 SW Cloverdale St, Seattle, WA 98106, USA","Kids love cooling off in this splash pad during hot Seattle summers, where the water jets and shallow pools are perfect for toddlers and preschoolers to play safely. You'll find plenty of shade and nearby restrooms to make a full afternoon of water play.","[""toddler"",""preschool"",""school-age""]","[""splash-pad"",""shade"",""restrooms-nearby"",""paved-paths""]","[""beacon-hill"",""summer"",""free"",""splash-pad""]",47.527037,-122.3495613,admin,5,false
